epoch,step,train_loss_epoch,train_loss_step
0,0,,928612.125
0,1,,717916.5
0,1,823264.3125,
1,2,,529886.0
1,3,,338076.8125
1,3,433981.40625,
2,4,,142613.375
2,5,,-36981.65625
2,5,52815.859375,
3,6,,-233356.65625
3,7,,-426837.71875
3,7,-330097.1875,
4,8,,-616065.625
4,9,,-783388.1875
4,9,-699726.9375,
5,10,,-926282.0625
5,11,,-1049956.5
5,11,-988119.3125,
6,12,,-1201563.25
6,13,,-1314108.75
6,13,-1257836.0,
7,14,,-1420978.125
7,15,,-1522639.125
7,15,-1471808.625,
8,16,,-1623729.0
8,17,,-1708199.25
8,17,-1665964.125,
9,18,,-1810725.75
9,19,,-1908464.5
9,19,-1859595.0,
10,20,,-1991337.75
10,21,,-2051997.125
10,21,-2021667.375,
11,22,,-2156822.75
11,23,,-2212013.0
11,23,-2184417.75,
12,24,,-2297609.0
12,25,,-2326037.25
12,25,-2311823.25,
13,26,,-2411597.25
13,27,,-2440822.25
13,27,-2426209.75,
14,28,,-2496576.5
14,29,,-2547750.75
14,29,-2522163.75,
15,30,,-2595462.25
15,31,,-2656582.25
15,31,-2626022.25,
16,32,,-2701973.0
16,33,,-2709663.5
16,33,-2705818.25,
17,34,,-2795605.75
17,35,,-2809775.5
17,35,-2802690.75,
18,36,,-2826154.25
18,37,,-2921271.5
18,37,-2873712.75,
19,38,,-2873186.5
19,39,,-2897889.0
19,39,-2885538.0,
20,40,,-2934014.25
20,41,,-2976255.5
20,41,-2955134.75,
21,42,,-3007607.0
21,43,,-3026258.0
21,43,-3016932.75,
22,44,,-3055958.0
22,45,,-3058186.75
22,45,-3057072.25,
23,46,,-3049409.75
23,47,,-3097759.25
23,47,-3073584.75,
24,48,,-3108401.75
24,49,,-3145076.0
24,49,-3126738.75,
25,50,,-3199741.75
25,51,,-3148778.5
25,51,-3174260.0,
26,52,,-3208078.0
26,53,,-3255350.5
26,53,-3231714.25,
27,54,,-3181829.75
27,55,,-3233096.5
27,55,-3207463.25,
28,56,,-3217283.0
28,57,,-3289133.75
28,57,-3253208.25,
29,58,,-3287986.25
29,59,,-3338737.25
29,59,-3313362.0,
