epoch,step,train_loss_epoch,train_loss_step
0,0,,920701.5
0,1,,717817.5625
0,1,819259.5,
1,2,,535229.9375
1,3,,352981.4375
1,3,444105.65625,
2,4,,152160.5625
2,5,,-35650.5546875
2,5,58255.00390625,
3,6,,-223738.375
3,7,,-431522.90625
3,7,-327630.65625,
4,8,,-605708.4375
4,9,,-787267.25
4,9,-696487.8125,
5,10,,-964229.125
5,11,,-1122777.375
5,11,-1043503.25,
6,12,,-1291950.125
6,13,,-1422761.75
6,13,-1357355.875,
7,14,,-1580242.25
7,15,,-1629759.0
7,15,-1605000.625,
8,16,,-1758862.5
8,17,,-1811976.0
8,17,-1785419.375,
9,18,,-1931336.25
9,19,,-2003206.75
9,19,-1967271.5,
10,20,,-2134419.0
10,21,,-2216477.75
10,21,-2175448.25,
11,22,,-2273110.5
11,23,,-2314780.5
11,23,-2293945.5,
12,24,,-2391557.25
12,25,,-2394811.0
12,25,-2393184.25,
13,26,,-2435614.75
13,27,,-2480727.0
13,27,-2458170.75,
14,28,,-2555393.25
14,29,,-2635708.25
14,29,-2595550.75,
15,30,,-2659844.5
15,31,,-2755292.0
15,31,-2707568.25,
16,32,,-2735012.0
16,33,,-2810374.5
16,33,-2772693.25,
17,34,,-2821929.5
17,35,,-2893012.5
17,35,-2857471.0,
18,36,,-2920355.0
18,37,,-2910398.5
18,37,-2915376.75,
19,38,,-2939789.0
19,39,,-2953339.5
19,39,-2946564.0,
20,40,,-2945636.25
20,41,,-2999996.5
20,41,-2972816.75,
21,42,,-2966747.0
21,43,,-3036373.5
21,43,-3001560.0,
22,44,,-3052143.5
22,45,,-3083459.0
22,45,-3067801.25,
23,46,,-3142771.5
23,47,,-3134715.0
23,47,-3138743.25,
24,48,,-3181682.0
24,49,,-3169329.5
24,49,-3175505.75,
25,50,,-3099878.25
25,51,,-3236060.75
25,51,-3167969.25,
26,52,,-3151013.5
26,53,,-3204868.75
26,53,-3177941.0,
27,54,,-3164808.5
27,55,,-3162123.75
27,55,-3163466.0,
28,56,,-3304599.5
28,57,,-3226580.25
28,57,-3265590.0,
29,58,,-3322325.75
29,59,,-3305821.0
29,59,-3314073.25,
